Subsidized Merchant RK-DA11 Guilder MCr88.1

Builder: Yard 11 No. 1
Owner: Judges Guild
Disposition: In Service

Using a 400-ton, TL12 hull, the MC&S Guilder class Subsidized Merchant mounts B-series drives, giving a performance of jump-1 and 1G acceleration. Fuel tankage supports a 1 parsec jump, at 40t per parsec, and 1.5 months of operations. Attached to the bridge is a Computer Model/1. There are 13 staterooms and 9 low berths. Two empty single turrets are installed. Cargo capacity is 200 tons. The ship has an airframed hull, with scoops, intakes, and bins for frontier refueling. It is also capable of water and wilderness landings.

The ship carries 1 Lifeboat. The ship has 5 crew (pilot, astrogator, medic, steward, and engineer), and can carry 8 passengers and 9 low passengers. 

Actual volume: 398.5 tons
Crew comfort:     +0
Passenger demand: +1

[code]
   Tons	 Component                          	  MCr	Notes
-------	 -----------------------------------	-----	--------------------
    400	 Airframe Hull, lifters, 4 a/l free 	   30	A, lifters, 4 a/l free
      4	 Flotation hull                     	    4	
      4	 Landing legs with pads             	    4	
      0	 AV=12. 1 Kinetic Plate             	    0	
     40	 Jump Fuel (1  parsec)              	    0	1 parsec jump, at 40t per parsec
      4	 Plant Fuel (one month)             	    0	one month
      1	 Fuel Scoops                        	  0.1	
      1	 Fuel Intakes                       	  0.1	
      1	 Fuel Bins                          	  0.1	
      3	 Maneuver Drive-1 (B)               	    6	1 G
     15	 Jump Drive-1 (B)                   	   15	J 1
      7	 PowerPlant-1 (B)                   	    7	P 1
      0	 AR Surf Communicator               	  1.5	
      0	 AR Surf Radar                      	  1.5	
      0	 AR Surf Scope                      	  1.5	
      2	 2x AR T2 Empty                     	    1	#2 
      1	 Computer Model/1 std               	  1.5	
      2	 Clinic                             	    1	
      2	 2x Life Support Luxury             	    2	#2 4 high passengers
      1	 Life Support Standard              	    1	21 people
     12	 Spacious Bridge                    	  0.6	1cc 4op 1ws
     10	 5x Crew Stateroom                  	  0.5	#5 1 crew
      1	 Crew Common Fresher                	    1	10 crew
     10	 Crew Lounge                        	    0	
    200	 Cargo Hold Basic                   	    0	
    4.5	 9x Low Berth                       	  0.9	#9 1 passenger
      1	 Mail Vault                         	    0	for express contracts
      4	 2x Cargo Lock                      	    0	#2 
     48	 8x Luxury Stateroom                	  3.2	#8 1 passenger + fresher
     10	 Lifeboat                           	  4.6	
     10	 Hangar Lock                        	    0	
[/code]

[code]
[/code]

